Keyword,"-x_UK_x -filter:nativeretweets geocode:55.378051,-3.43597299999999,750km"
Total audience,101091236
Contributors,48232
Total tweets,169033
Total potential impressions,362.181.341
Measured data from,2016-04-14 09:44
Measured data to,2016-04-21 08:30
Tweets per contributor,"3,50"
Impressions / Audience,"3,58"
Measured time in seconds,600369
Measured time in minutes,10006
Measured time in hours,167
Measured time in days,7
Tweets per second,0.281548514
Tweets per minute,16.89291086
Tweets per hour,1013.574652
Tweets per day,24325.79164
