Text_Clean,Latitude,Longitude,Country,coordinates,city
talking to some great journos this morning all about       at metropolitan by como  ,51.50518452,-0.15012839,GB,"[51.50518452, -0.15012839]",Greater London
"incident severe delay m northbound between j and ja status   currently active  
time to clear         beepbeep",52.615627,-2.0290296000000003,GB,"[52.615627, -2.0290296000000003]",West Midlands
a little snippet from my  sundayjazzcongregation      great to have nimamyri in  ,51.51345120000001,-0.12533110000000006,GB,"[51.51345120000001, -0.12533110000000006]",Greater London
if youre a  pharmaceutical professional in  manchester england check out this  job    hiring,53.4807593,-2.2426305,GB,"[53.4807593, -2.2426305]",Greater Manchester
our  day  summit kicks off in our new office with an intro from   tubeeu  tubemogulacademy ,51.51523763,-0.12715407,GB,"[51.51523763, -0.12715407]",Greater London
remembering charlotte bronte on the th anniversary of her birth today  ,53.8322756,-1.9580134,GB,"[53.8322756, -1.9580134]",West Yorkshire
"  hell yeah x
look at you      all posh ont telly",51.43072960000001,0.0702741,GB,"[51.43072960000001, 0.0702741]",Greater London
 hours to kill at london  lhr in hounslow london ,51.46971536,-0.45988083,GB,"[51.46971536, -0.45988083]",Greater London
heacham weather temp  c  amp  is rising low  c  amp  high  c pressure  mb  amp  is falling wind  mph ene  amp  gust  mph rain today  mm ,52.90861111,0.47916667,GB,"[52.90861111, 0.47916667]",Norfolk
when life gives you lemon choux with meringue   a little bit of lemony sunshine to brighten up  ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
 egaylity    homophobia in morocco  gay or straight its personal    the attackers subsequently forced one of the  ,51.61967125,0.0203125,GB,"[51.61967125, 0.0203125]",Greater London
 egaylity    homophobia in morocco  gay or straight its personal    the attackers subsequently forced one of the  ,51.61967125,0.0203125,GB,"[51.61967125, 0.0203125]",Greater London
jealous by nick jonas is  nowplaying in the beacon hotel   download it now at ,52.70899100000001,-2.77844,GB,"[52.70899100000001, -2.77844]",Shropshire
choose your  ,54.64718582,-5.82657073,GB,"[54.64718582, -5.82657073]",Ards And North Down
wind   mph e  barometer   hpa falling slowly  temperature    c  rain today   mm  humidity  ,51.37083333,1.42333333,GB,"[51.37083333, 1.42333333]",Kent
the perfect  birthdaycake for a  farmer with  lopear  pigs   cows   chicks   chicken   ,53.8133846,-2.5348065,GB,"[53.8133846, -2.5348065]",Lancashire
tmp   c wind mph press  mb cloud  ft rain  mm humidity   fine weather  ukweather,51.33222222,-0.55777778,GB,"[51.33222222, -0.55777778]",Surrey
temp   c  wind  m s  press  mb falling slowly  rain today  mm  f cast showery becoming less settled,55.84305556,-4.42888889,GB,"[55.84305556, -4.42888889]",Renfrewshire
wind   mph ne  barometer   mb steady  temperature    c  rain today   mm  humidity  ,51.86805556,0.73111111,GB,"[51.86805556, 0.73111111]",Essex
"local weather at      
temp    c current wind gust       mph wind n
rainfall today   baro    amp  falling",52.25138889,0.10166667,GB,"[52.25138889, 0.10166667]",Cambridgeshire
"wind   mph ene gusting   mph 
barometer   mb falling slowly 
temp    c     c 
rain today   mm 
humidity  
 dyff",53.28305556,-4.5625,GB,"[53.28305556, -4.5625]",Ynys Môn
"temp   c wchill   c
wind  mph gust  mph dir ene 
rain  mm  humid   pressure  mb rising 
 kent  folkestone",51.08833333,1.135,GB,"[51.08833333, 1.135]",Kent
a woman on bbc news growing up with a queen made me feel as i woman there was nothing i couldnt do  well  you couldnt be the queen ,55.85770404,-4.24328615,GB,"[55.85770404, -4.24328615]",Glasgow City
 theres so much more better n fun things to do tho,55.62627927,-4.50883913,GB,"[55.62627927, -4.50883913]",East Ayrshire Council
wind  mph wnw  barometer   mb rising slowly  temperature    c  rain today  mm  humidity  ,59.2425,-2.58777778,GB,"[59.2425, -2.58777778]",Orkney
